"spkid","full_name","epoch_mjd","a","e","i","om","w","ma"
20000433,"   433 Eros (A898 PA)",60800,1.458,0.2227,10.83,304.27,178.92,198.60
20000719,"   719 Albert (A911 TB)",60800,2.636,0.5467,11.57,183.86,156.20,194.53
20000887,"   887 Alinda (A918 AA)",60800,2.473,0.5712,9.40,110.41,350.52,30.88
20001036,"  1036 Ganymed (A924 UB)",60800,2.666,0.5330,26.68,215.48,132.50,52.27
20001221,"  1221 Amor (1932 EA1)",60800,1.92,0.4346,11.87,171.24,26.76,345.77
20001566,"  1566 Icarus (1949 MA)",60800,1.078,0.8270,22.80,87.95,31.44,336.97
20001580,"  1580 Betulia (1950 KA)",60800,2.195,0.4876,52.19,62.23,159.73,19.64
20001620,"  1620 Geographos (1951 RA)",60800,1.246,0.3356,13.34,337.15,277.00,71.15
20001627,"  1627 Ivar (1929 SH)",60800,1.863,0.3972,8.46,133.07,167.84,233.93
20001685,"  1685 Toro (1948 OA)",60800,1.368,0.4360,9.38,274.21,127.28,319.46
20001862,"  1862 Apollo (1932 HA)",60800,1.471,0.5598,6.35,35.56,286.03,3.40
20001863,"  1863 Antinous (1948 EA)",60800,2.261,0.6063,18.36,345.69,268.90,231.67
20001864,"  1864 Daedalus (1971 FA)",60800,1.461,0.6144,22.21,6.60,325.66,145.92
20001865,"  1865 Cerberus (1971 UA)",60800,1.08,0.4669,16.10,212.89,325.29,144.03
20001866,"  1866 Sisyphus (1972 XA)",60800,1.894,0.5381,41.21,63.45,293.11,64.98
20001915,"  1915 Quetzalcoatl (1953 EA)",60800,2.545,0.5703,20.40,162.93,347.75,333.06
20001916,"  1916 Boreas (1953 RA)",60800,2.273,0.4493,12.88,340.60,335.85,337.58
20001917,"  1917 Cuyo (1968 AA)",60800,2.149,0.5056,23.96,188.27,194.56,97.51
20001943,"  1943 Anteros (1973 EC)",60800,1.43,0.2561,8.71,246.29,338.44,145.15
20001980,"  1980 Tezcatlipoca (1950 LA)",60800,1.709,0.3647,26.87,246.54,115.48,123.27
20001981,"  1981 Midas (1973 EA)",60800,1.776,0.6505,39.82,356.79,267.85,342.08
20002059,"  2059 Baboquivari (1963 UA)",60800,2.642,0.5317,11.02,200.69,192.45,97.25
20002061,"  2061 Anza (1960 UA)",60800,2.265,0.5355,3.80,207.36,157.09,341.07
20002062,"  2062 Aten (1976 AA)",60800,0.967,0.1829,18.94,108.53,148.07,185.34
20002063,"  2063 Bacchus (1977 HB)",60800,1.078,0.3494,9.44,33.04,55.34,58.68
20002100,"  2100 Ra-Shalom (1978 RA)",60800,0.832,0.4365,15.76,170.78,356.07,349.36
20002101,"  2101 Adonis (1936 CA)",60800,1.874,0.7641,1.32,349.41,43.71,307.64
20002102,"  2102 Tantalus (1975 YA)",60800,1.29,0.2994,64.01,94.35,61.51,212.81
20002135,"  2135 Aristaeus (1977 HA)",60800,1.6,0.5031,23.07,191.11,290.98,299.74
20002201,"  2201 Oljato (1947 XC)",60800,2.179,0.7107,2.52,74.87,98.37,35.72
20002202,"  2202 Pele (1972 RA)",60800,2.291,0.5129,8.74,169.90,217.99,52.71
20002212,"  2212 Hephaistos (1978 SB)",60800,2.167,0.8351,11.23,26.70,210.35,246.51
20002329,"  2329 Orthos (1976 WA)",60800,2.41,0.6533,24.46,169.28,146.05,18.66
20002340,"  2340 Hathor (1976 UA)",60800,0.8438,0.4500,5.86,211.29,40.11,307.69
20002368,"  2368 Beltrovata (1977 RA)",60800,2.105,0.4135,5.22,287.29,43.06,223.23
20002608,"  2608 Seneca (1978 DA)",60800,2.531,0.5647,14.43,166.43,38.69,321.76
20003102,"  3102 Krok (1981 QA)",60800,2.151,0.4492,8.44,172.05,154.75,304.28
20003103,"  3103 Eger (1982 BB)",60800,1.404,0.3542,20.93,129.73,254.12,62.61
20003122,"  3122 Florence (1981 ET3)",60800,1.769,0.4232,22.14,336.04,27.90,84.45
20003199,"  3199 Nefertiti (1982 RA)",60800,1.575,0.2842,32.96,339.98,53.44,178.73
20003200,"  3200 Phaethon (1983 TB)",60800,1.271,0.8898,22.31,265.09,322.31,26.46
20003271,"  3271 Ul (1982 RB)",60800,2.102,0.3956,25.07,158.81,159.07,9.31
20003288,"  3288 Seleucus (1982 DV)",60800,2.035,0.4545,5.93,218.59,349.38,308.96
20003352,"  3352 McAuliffe (1981 CW)",60800,1.879,0.3691,4.77,107.33,16.08,64.38
20003360,"  3360 Syrinx (1981 VA)",60800,2.468,0.7463,21.13,242.42,63.56,100.38
20003361,"  3361 Orpheus (1982 HR)",60800,1.21,0.3229,2.66,188.67,302.35,172.55
20003362,"  3362 Khufu (1984 QA)",60800,0.9895,0.4685,9.92,152.40,55.09,200.12
20003551,"  3551 Verenia (1983 RD)",60800,2.093,0.4869,9.51,173.78,193.30,268.20
20003552,"  3552 Don Quixote (1983 SA)",60800,4.268,0.7072,31.05,349.97,316.51,285.88
20003553,"  3553 Mera (1985 JA)",60800,1.645,0.3199,36.78,232.49,288.89,23.17
20003554,"  3554 Amun (1986 EB)",60800,0.974,0.2806,23.36,358.60,359.42,71.63
20003671,"  3671 Dionysus (1984 KD)",60800,2.199,0.5431,13.54,82.05,204.35,191.69
20003691,"  3691 Bede (1982 FT)",60800,1.774,0.2844,20.35,348.69,235.08,68.47
20003752,"  3752 Camillo (1985 PA)",60800,1.414,0.3016,55.56,147.95,312.23,126.07
20003753,"  3753 Cruithne (1986 TO)",60800,0.9978,0.5149,19.80,126.19,43.88,146.58
20003757,"  3757 Anagolay (1982 XB)",60800,1.835,0.4459,3.87,74.93,17.23,13.03
20003838,"  3838 Epona (1986 WA)",60800,1.505,0.7028,29.20,235.46,49.72,332.56
20003908,"  3908 Nyx (1980 PA)",60800,1.928,0.4591,2.19,261.19,126.66,239.34
20003988,"  3988 Huma (1986 LA)",60800,1.544,0.3165,10.77,229.79,86.92,59.05
20004015,"  4015 Wilson-Harrington (1979 VA)",60800,2.626,0.6310,2.80,266.72,95.52,228.08
20004034,"  4034 Vishnu (1986 PA)",60800,1.059,0.4440,11.17,157.87,296.69,81.17
20004055,"  4055 Magellan (1985 DO2)",60800,1.82,0.3261,23.25,164.81,154.37,347.61
20004179,"  4179 Toutatis (1989 AC)",60800,2.543,0.6248,0.45,125.36,277.87,28.28
20004183,"  4183 Cuno (1959 LM)",60800,1.981,0.6362,6.67,294.35,237.02,246.65
20004197,"  4197 Morpheus (1982 TA)",60800,2.295,0.7724,12.60,7.00,122.56,53.80
20004257,"  4257 Ubasti (1987 QA)",60800,1.647,0.4683,40.72,169.14,278.95,254.18
20004341,"  4341 Poseidon (1987 KF)",60800,1.834,0.6800,11.84,108.02,15.83,123.37
20004401,"  4401 Aditi (1985 TB)",60800,2.584,0.5634,26.62,22.77,68.17,180.92
20004450,"  4450 Pan (1987 SY)",60800,1.442,0.5866,5.52,311.67,292.00,305.90
20004486,"  4486 Mithra (1987 SB)",60800,2.207,0.6608,3.04,82.19,169.21,216.37
20004487,"  4487 Pocahontas (1987 UA)",60800,1.73,0.2966,16.41,198.10,173.98,182.47
20004503,"  4503 Cleobulus (1989 WM)",60800,2.704,0.5248,2.51,45.94,76.25,332.15
20004544,"  4544 Xanthus (1989 FB)",60800,1.042,0.2502,14.14,23.94,333.84,179.82
20004581,"  4581 Asclepius (1989 FC)",60800,1.023,0.3570,4.92,180.20,255.38,42.74
20004596,"  4596 (1981 QB)",60800,2.239,0.5200,37.07,154.19,248.43,349.01
20004660,"  4660 Nereus (1982 DB)",60800,1.485,0.3588,1.45,313.11,159.55,300.88
20004688,"  4688 (1980 WF)",60800,2.233,0.5179,6.38,241.23,213.82,104.41
20004769,"  4769 Castalia (1989 PB)",60800,1.063,0.4832,8.88,325.51,121.45,143.95
20004947,"  4947 Ninkasi (1988 TJ1)",60800,1.37,0.1684,15.65,215.42,192.94,267.46
20004953,"  4953 (1990 MU)",60800,1.622,0.6574,24.38,77.53,77.93,20.51
20004954,"  4954 Eric (1990 SQ)",60800,2.001,0.4494,17.43,358.40,52.62,57.55
